iteration	date	plan	fails	concerns	gate	loop_status
0	2026-08-17	phase-1-signal-acquisition	7	12	BLOCKED	baseline
0	2026-08-17	phase-2-memory-privacy	5	8	BLOCKED	baseline
0	2026-08-17	phase-3-learning-autonomy	7	9	BLOCKED	baseline
0	2026-08-17	cross-plan-adversarial	8	4	REFUTED	baseline
1	2026-08-17	phase-1-signal-acquisition	0	0	pending-revalidate	cycle1-supplement-applied
1	2026-08-17	phase-2-memory-privacy	0	0	pending-revalidate	cycle1-supplement-applied
1	2026-08-17	phase-3-learning-autonomy	0	0	pending-revalidate	cycle1-supplement-applied
2	2026-08-17	phase-1-signal-acquisition	6	8	BLOCKED	cycle2-revalidated
2	2026-08-17	phase-2-memory-privacy	2	4	BLOCKED	cycle2-revalidated
2	2026-08-17	phase-3-learning-autonomy	3	8	BLOCKED	cycle2-revalidated
3	2026-08-17	phase-1-signal-acquisition	0	0	pending-revalidate	cycle3-supplement-applied
3	2026-08-17	phase-2-memory-privacy	0	0	pending-revalidate	cycle3-supplement-applied
3	2026-08-17	phase-3-learning-autonomy	0	0	pending-revalidate	cycle3-supplement-applied
4	2026-08-17	phase-1-signal-acquisition	3	7	BLOCKED	cycle3-revalidated
4	2026-08-17	phase-2-memory-privacy	3	6	BLOCKED	cycle3-revalidated
4	2026-08-17	phase-3-learning-autonomy	2	4	BLOCKED	cycle3-revalidated-split-triggered
5	2026-08-17	phase-1-signal-acquisition	0	0	pending-revalidate	cycle4-supplement-applied
5	2026-08-17	phase-2-memory-privacy	0	0	pending-revalidate	cycle4-supplement-applied
5	2026-08-17	phase-3a-learning	0	0	pending-revalidate	cycle4-split-created
5	2026-08-17	phase-3b-autonomy	0	0	pending-revalidate	cycle4-split-created
6	2026-08-17	phase-1-signal-acquisition	0	4	CONDITIONAL	cycle4-revalidated
6	2026-08-17	phase-2-memory-privacy	1	5	BLOCKED	cycle4-revalidated
6	2026-08-17	phase-3a-learning	1	3	BLOCKED	cycle4-first-validation
6	2026-08-17	phase-3b-autonomy	1	2	BLOCKED	cycle4-first-validation
7	2026-08-17	phase-2-memory-privacy	0	0	pending-revalidate	cycle5-supplement-applied
7	2026-08-17	phase-3a-learning	0	0	pending-revalidate	cycle5-supplement-applied
7	2026-08-17	phase-3b-autonomy	0	0	pending-revalidate	cycle5-supplement-applied
8	2026-08-17	phase-2-memory-privacy	0	2	CONDITIONAL	cycle5-revalidated
8	2026-08-17	phase-3a-learning	1	1	BLOCKED	cycle5-revalidated
8	2026-08-17	phase-3b-autonomy	2	3	BLOCKED	cycle5-revalidated
9	2026-08-17	phase-1-signal-acquisition	0	0	pending-delta-check	cycle6-supplement-applied
9	2026-08-17	phase-2-memory-privacy	0	0	pending-revalidate	cycle6-supplement-applied
9	2026-08-17	phase-3a-learning	0	0	pending-revalidate	cycle6-supplement-applied
9	2026-08-17	phase-3b-autonomy	0	0	pending-revalidate	cycle6-supplement-applied
10	2026-08-17	phase-1-signal-acquisition	0	2	CONDITIONAL	cycle6-delta-clean-gate-stands
10	2026-08-17	phase-2-memory-privacy	0	0	CONDITIONAL	cycle6-revalidated-residuals-only
10	2026-08-17	phase-3a-learning	0	0	PASS	HALTED_SUCCESS
10	2026-08-17	phase-3b-autonomy	0	2	CONDITIONAL	cycle6-revalidated
11	2026-08-17	phase-1-signal-acquisition	0	0	CONDITIONAL	cycle7-microsupplement-dd1-dd2-closed
11	2026-08-17	phase-3b-autonomy	0	0	CONDITIONAL	cycle7-microsupplement-c6-c7-closed
11	2026-08-17	program	0	0	PVL-CLOSED	HALTED_SUCCESS
12	2026-08-17	program	0	0	ACCEPTED	kg1-user-accepted-all-conditionals-recorded
