iteration	date	loop	scope	gate_or_gaps	notes	loop_status
0	2026-08-03	PVL	outer-pvl-6-phases	P1:COND P2:PASS P3:PASS P4:COND P5:COND P6:COND	baseline after first outer PVL pass; all CONCERNs fixed in-plan by validators; program-level gaps: SPEC gmail claim, umbrella stale touchpoint	RUNNING
1	2026-08-03	PVL	supplement-spec-umbrella	2 gaps addressed (SPEC AC12 gmail claim; umbrella stale touchpoint + head drift note)	SUPPLEMENT_APPLIED; umbrella validator clean; report: identity-program-pvl-iteration-001_REPORT_03-08-26.md	HALTED_SUCCESS
2	2026-08-03	EVL	phase-1-candidate-tier	6/6 runnable gates green on independent vc-tester cold re-run (99+26+833 unit; tsc clean; single head b1c9e7f24d83; offline migration roundtrip clean)	0 fix cycles; known-gaps env-only (Docker integration lane, migration live roundtrip, Playwright AC4); closeout WITH_GAPS	HALTED_SUCCESS
3	2026-08-03	EVL	phase-2+3	P2: 26+11 unit green, AC17 hybrid env-blocked; P3: 7+26 green, test-only phase, attribution-echo = permanent known-gap D	P2/P3 gates green on independent cold re-run; full-lane exposed 3 late failures owned by Phase 1 scope	HALTED_SUCCESS
4	2026-08-03	EVL	phase-1-fix-cycle-1	all 3 = stale test assertions vs Phase 1 intentional behavior (candidates key B4; A1b origin gate); NO source bug; +2 vacuous tests hardened	tests-only edits; full UNFILTERED lane 1589 passed 0 failed on independent cold re-run; stray Redis 6379 present but not implicated	HALTED_SUCCESS
5	2026-08-04	PVL	phase-4-inner-loop	R+supplement+inner-PVL: merge=POINTER (existing dedup branch, zero new merge code); Gate: CONDITIONAL; 1 real plan bug fixed (D1/C2 predicate self-contradiction -> EXISTS subquery + red-first D8); full-lane gate added per Phase-1 lesson	contract superseded: generated-by inner-pvl phase-4, date 2026-08-04; backlog note merged-visitor-consumer-awareness_NOTE_04-08-26 (pre-existing cross-cutting gap, out of blast radius)	HALTED_SUCCESS
6	2026-08-04	EVL	phase-4-contact-import	independent cold re-run CLEAN: full unfiltered lane 1629/0 (transient site_limit x3 self-resolved — concurrent pixel-verify work, outside blast radius); tsc clean; D8 4/4; importer 13/13; merge 3/3; migration c2f8a5d31e97 offline roundtrip clean	0 fix cycles; NOTE: concurrent session chained new migration e9d2a4c71f68_add_site_tombstones on top — head moved AGAIN (now e9d2a4c71f68, single); git stash incident disclosed by execute-agent (pop aborted, no state change, 10 stashes intact)	HALTED_SUCCESS
7	2026-08-04	PVL	phase-5-inner-pvl	supplement (5 gaps: C1a resolved to merged+pointer, head refresh, full-lane gate) + inner PVL from V1: Gate PASS (was CONDITIONAL); 3 new minor concerns fixed in-plan (sweep window floor max(2x,15min); do_not_resolve inherited via resolve(); backlog cross-ref)	contract: generated-by inner-pvl phase-5, date 2026-08-04, supersedes outer; no new migration needed; cleared for EXECUTE sequential	HALTED_SUCCESS
8	2026-08-05	EVL	phase-5-fix-cycle-1	root cause confirmed: test hardcoded date vs compute_timeseries utcnow reference (NOT a semantics regression; candidate CASE split intact); test-only fix	independent tester: 6/6 gates green — full lane 1629/0, candidate_call_sites 8/8, scheduler 12/12, tsc clean, head e9d2a4c71f68, integration collects clean; closeout WITH_GAPS (Docker-gated AC11 x4)	HALTED_SUCCESS
9	2026-08-05	PVL	phase-6-inner-pvl	supplement (4 gaps: pointer-resolution query rewrite, entry gate resolved, env refresh, refresh note) + inner PVL V1-V7: Gate PASS; 2 NEW mechanical bugs caught pre-EXECUTE (multi-merged-child double-count; /contacts/hot route shadowed by existing /{visitor_id} route) + test-tier fix (added Fully-Automated D1a companion to avoid vacuous green)	contract: generated-by inner-pvl phase-6, date 2026-08-05, supersedes outer; no migration; cleared for EXECUTE	HALTED_SUCCESS
10	2026-08-05	EVL	phase-6-hot-contacts	independent cold re-run CLEAN 5/5: full lane 1638/0 (+9 vs baseline), hot_contacts_query 9/9, tsc clean, integration 6 collect clean, head e9d2a4c71f68 unchanged	both PVL-caught fixes VERIFIED IN SOURCE (not just claimed): main.py:455-456 router order + real index assertion; correlated scalar subquery MAX() (no JOIN fan-out possible). 0 fix cycles. PROGRAM 6/6 code-complete	HALTED_SUCCESS
