iteration	date	plan	fails	concerns	gate	loop_status
0	2026-08-16	phase-1-demo-booking	5	9	BLOCKED	baseline
0	2026-08-16	phase-2-icp-fit-scoring	2	7	BLOCKED	baseline
0	2026-08-16	phase-3-learning-loop-benchmarks	4	3	BLOCKED	baseline
1	2026-08-16	phase-1-demo-booking	0	0	pending-revalidate	cycle1-supplement-applied
1	2026-08-16	phase-2-icp-fit-scoring	0	0	pending-revalidate	cycle1-supplement-applied
1	2026-08-16	phase-3-learning-loop-benchmarks	0	0	pending-revalidate	cycle1-supplement-applied
2	2026-08-16	phase-1-demo-booking	3	4	BLOCKED	cycle2-revalidate
2	2026-08-16	phase-2-icp-fit-scoring	3	6	BLOCKED	cycle2-revalidate
2	2026-08-16	phase-3-learning-loop-benchmarks	1	6	BLOCKED	cycle2-revalidate
3	2026-08-16	phase-1-demo-booking	0	0	pending-revalidate	cycle2-supplement-applied
3	2026-08-16	phase-2-icp-fit-scoring	0	0	pending-revalidate	cycle2-supplement-applied
3	2026-08-16	phase-3-learning-loop-benchmarks	0	0	pending-revalidate	cycle2-supplement-applied
4	2026-08-16	phase-1-demo-booking	1	5	BLOCKED	cycle3-revalidate
4	2026-08-16	phase-2-icp-fit-scoring	2	4	BLOCKED	cycle3-revalidate
4	2026-08-16	phase-3-learning-loop-benchmarks	0	4	CONDITIONAL	cycle3-revalidate
5	2026-08-16	phase-1-demo-booking	0	0	pending-revalidate	cycle3-supplement-applied
5	2026-08-16	phase-2-icp-fit-scoring	0	0	pending-revalidate	cycle3-supplement-applied
5	2026-08-16	phase-3-learning-loop-benchmarks	0	0	pending-revalidate	cycle3-supplement-applied
6	2026-08-16	phase-1-demo-booking	0	4	CONDITIONAL	cycle4-revalidate
6	2026-08-16	phase-2-icp-fit-scoring	0	6	CONDITIONAL	cycle4-revalidate
6	2026-08-16	phase-3-learning-loop-benchmarks	0	4	CONDITIONAL	cycle4-revalidate
7	2026-08-16	phase-1-demo-booking	0	0	CONDITIONAL-concerns-closed	cycle4-supplement-applied
7	2026-08-16	phase-2-icp-fit-scoring	0	0	CONDITIONAL-concerns-closed	cycle4-supplement-applied
7	2026-08-16	phase-3-learning-loop-benchmarks	0	0	CONDITIONAL-concerns-closed	cycle4-supplement-applied
evl-1	2026-08-16	phase-1-demo-booking	0	2	PASS-WITH-GAPS	HALTED_SUCCESS
exec-1	2026-08-16	phase-2-icp-fit-scoring	0	5	EXECUTED	fully-auto-green-hybrid-blocked
evl-1	2026-08-16	phase-2-icp-fit-scoring	0	4	PASS-WITH-GAPS	HALTED_SUCCESS
exec-1	2026-08-16	phase-3-learning-loop-benchmarks	0	4	EXECUTED	fully-auto-green-hybrid-blocked
evl-1	2026-08-16	phase-3-learning-loop-benchmarks	0	5	PASS-WITH-GAPS	HALTED_SUCCESS
evl-2	2026-08-17	ALL-3-PHASES	0	0	VERIFIED	HALTED_SUCCESS-after-1-fix-cycle
